financial_year	council	Population	premises_residential	premises_nonresidential	premises_with_garbage_service_residential	premises_with_garbage_service_nonresidential	garbage_service_frequency	garbage_collected_total_tonnes	garbage_collected_total_tonnes_estimated	premises_with_kerbside_recycling_service_residential	premises_with_kerbside_recycling_service_nonresidential	kerbside_recycling_service_frequency	kerbside_recycling_total_collected_tonnes	kerbside_recycling_total_recycled_tonnes	kerbside_recycling_glass_all_recycled_tonnes	kerbside_recycling_metal_recycled_tonnes	kerbside_recycling_paper_all_recycled_tonnes	kerbside_recycling_plastics_all_recycled_tonnes	kerbside_organics_premises_residential	kerbside_organics_bin_frequency	kerbside_organics_fogo_included	kerbside_organics_collected_tonnes	kerbside_organics_processed_tonnes	dropoff_garbage_collected_tonnes	dropoff_recycling_collected_tonnes	premises_with_kerbside_glass_service_residential	premises_with_kerbside_glass_service_nonresidential	kerbside_glass_service_frequency	kerbside_glass_total_collected_tonnes	premises_with_access_to_hardwaste_service_residential	hardwaste_collected_tonnes	hardwaste_disposed_tonnes
2001-2002	Alpine Shire Council	12788	4769	0	4741		Weekly	2343	No	4741			684.5	683	210	33	380	60														
2001-2002	Ararat Rural City Council	11521	5134	385	3820	350	Weekly	3434.24	No	3096		Fortnightly	615.2	587	403.2	43.2	48.8	120														
2001-2002	Ballarat City Council	83000	32370	0	32370		Weekly	16000	No	32367			6100	4840	1223	279	2859	479														
2001-2002	Banyule City Council	114222	44786	4888	44786		Weekly	19134	No	44786			10872	10231	3284	495	5841	611	44786	Fortnightly	No	6517	6517								861	753
2001-2002	Bass Coast Shire Council	23175	19000	1697	17600	750	Weekly	5087	No	17375	975	Fortnightly	2490	2490	483	120	1215	114												17600	310.2	164.28
2001-2002	Baw Baw Shire Council	35000	11786	5864	11231	517	Weekly	8388	No	10669		Weekly	1406.9	1060.4	170.68	43.78	785.59	60.39	11231	Monthly	No	583.35	583.35							11231	1136.96	489.6
2001-2002	Bayside City Council	91000	36471	2829	38600	2829	Weekly	22180	No	35685		Weekly	8005	7748.7	3154	274	3995	325.7	20466	Fortnightly		7800	7800							38600	1600	1000
2001-2002	Boroondara City Council	158000	62000	5500	65000	5000	Weekly	38107	No	61500	5500		16749	16023	4538	300	10057	1597	62000	Monthly	No	9129	9129							62000	2053	1513
2001-2002	Brimbank City Council	169000	55224	3491	55224		Weekly	41550	No	55224			9886	9886	3010	515	4921	1440	55224	Bi-annual	No	2200	2200							55224	4560	3840
2001-2002	Buloke Shire Council	7600	2898	453	2646		Weekly	1776	No	2646	362		247	237	73.01	8.19	142.25	13.6														
2001-2002	Campaspe Shire Council	36363	15011	1304	12296	1367	Weekly	12788	No	9953			1045	1045	356	24	525	140														
