Financial Year	Material Type	Material Name	Source Sector	Disposal	International Export	Interstate Export	Processed locally (including Waste to Energy)	Total Generation
2015-2016	Aggregate, masonry and soils	Asphalt	CND	953	0	0	618,151	619,104
2015-2016	Aggregate, masonry and soils	Asphalt	CNI	2,966	0	0	0	2,966
2015-2016	Aggregate, masonry and soils	Asphalt	MSW	740	0	0	8,436	9,176
2015-2016	Aggregate, masonry and soils	Bricks	CND	26,942	0	0	424,778	451,720
2015-2016	Aggregate, masonry and soils	Bricks	CNI	25,397	0	0	0	25,397
2015-2016	Aggregate, masonry and soils	Bricks	MSW	48,597	0	0	2,000	50,597
2015-2016	Aggregate, masonry and soils	Concrete	CND	24,508	0	0	2,340,192	2,364,700
2015-2016	Aggregate, masonry and soils	Concrete	CNI	30,009	0	0	0	30,009
2015-2016	Aggregate, masonry and soils	Concrete	MSW	395	0	0	33,668	34,063
2015-2016	Aggregate, masonry and soils	Plaster	CND	14,567	0	0	36,163	50,730
2015-2016	Aggregate, masonry and soils	Plaster	CNI	20,948	0	0	82	21,030
2015-2016	Aggregate, masonry and soils	Plaster	MSW	4,382	0	0	623	5,005
2015-2016	Aggregate, masonry and soils	Rubble	CND	9,273	0	0	579,988	589,261
2015-2016	Aggregate, masonry and soils	Rubble	CNI	13,251	0	0	2,552	15,803
2015-2016	Aggregate, masonry and soils	Rubble	MSW	2,960	0	0	0	2,960
2015-2016	Aggregate, masonry and soils	Soil and natural materials	CND	690,902	0	0	88,460	779,362
2015-2016	Aggregate, masonry and soils	Soil and natural materials	CNI	100,786	0	0	10,937	111,723
2015-2016	Aggregate, masonry and soils	Soil and natural materials	MSW	15,425	0	0	800	16,225
2015-2016	Glass	Container glass	CND	641	4	0	519	1,164
2015-2016	Glass	Container glass	CNI	26,445	114	0	20,140	46,699
2015-2016	Glass	Container glass	MSW	38,785	3,047	0	161,095	202,927
2015-2016	Glass	Other glass	CND	3,127	0	0	0	3,127
2015-2016	Glass	Other glass	CNI	12,979	0	0	0	12,979
2015-2016	Glass	Other glass	MSW	38,406	0	0	0	38,406
2015-2016	Metals	Aluminium	CND	3,693	0	0	0	3,693
2015-2016	Metals	Aluminium	CNI	16,416	0	0	35,080	51,496
2015-2016	Metals	Aluminium	MSW	20,938	0	0	1,667	22,605
2015-2016	Metals	Ferrous	CND	15,816	27,397	0	88,786	131,999
2015-2016	Metals	Ferrous	CNI	53,355	132,568	0	174,649	360,572
2015-2016	Metals	Ferrous	MSW	35,171	84,982	0	126,016	246,169
2015-2016	Metals	Other metals	CND	0	620	0	20,333	20,953
2015-2016	Metals	Other metals	CNI	0	8,283	0	415,810	424,093
2015-2016	Metals	Other metals	MSW	0	1,279	0	28,602	29,881
2015-2016	Organics	Food organics	CND	2,853	0	0	0	2,853
2015-2016	Organics	Food organics	CNI	232,993	0	0	61,120	294,113
2015-2016	Organics	Food organics	MSW	636,275	0	0	4,852	641,127
2015-2016	Organics	Garden organics	CND	20,563	0	0	0	20,563
2015-2016	Organics	Garden organics	CNI	58,726	0	0	185,595	244,321
2015-2016	Organics	Garden organics	MSW	100,822	0	0	266,804	367,626
2015-2016	Organics	Other organics	CND	499	0	0	0	499
2015-2016	Organics	Other organics	CNI	28,989	0	0	82,941	111,930
2015-2016	Organics	Other organics	MSW	100,565	0	0	12,979	113,544
2015-2016	Organics	Wood /timber	CND	112,139	0	0	70,578	182,717
2015-2016	Organics	Wood /timber	CNI	226,463	0	0	109,854	336,316
2015-2016	Organics	Wood /timber	MSW	28,140	0	0	23,279	51,419
2015-2016	Paper and cardboard	Cardboard	CND	4,106	11,273	0	257	15,636
2015-2016	Paper and cardboard	Cardboard	CNI	75,534	202,905	0	514,548	792,986
2015-2016	Paper and cardboard	Cardboard	MSW	36,960	11,273	0	1,159	49,392
2015-2016	Paper and cardboard	Liquidpaperboard	CND	510	0	0	0	510
2015-2016	Paper and cardboard	Liquidpaperboard	CNI	27,284	0	0	0	27,284
2015-2016	Paper and cardboard	Liquidpaperboard	MSW	28,063	0	0	0	28,063
2015-2016	Paper and cardboard	Newsprint and magazines	CND	0	6,562	0	0	6,562
2015-2016	Paper and cardboard	Newsprint and magazines	CNI	0	91,862	0	30,186	122,048
2015-2016	Paper and cardboard	Newsprint and magazines	MSW	0	32,808	0	0	32,808
